kot	k o t̚ ˨˩
kujt͡ɕʰon	k u n ˧ t͡ɕʰ ɔː n ˧
kujt͡ɕɛː	k u n ˧ t͡ɕ ɛː ˧
kudumpʰiː	k u ˨˩ d u m ˧ pʰ iː ˧
kunsɯːɔː	k u n ˧ s ɯː ˧
kumpʰaːpʰan	k u m ˧ pʰ aː ˧ pʰ a n ˧
kadaj	k ɔː ˥˩ d aː j ˥˩
kɔːkaːnraːj	k ɔː ˨˩ k aː n ˧ r aː j ˦˥
kɔːŋ	k ɔ ŋ ˥˩
kɔːj	k ɔ j ˥˩
kwjatiːa̯w	k u a̯ j ˩˩˦ t i a̯ w ˩˩˦
kʰanom	kʰ a ˨˩ n o m ˩˩˦
kʰanaːt	kʰ a ˨˩ n aː t̚ ˨˩
kʰajaʔ	kʰ a ˨˩ j a ʔ ˨˩
kʰwaj	kʰ w a n ˩˩˦
kʰɔːbkʰun	kʰ ɔː p̚ ˨˩ kʰ u n ˧
kʰaːt	kʰ aː t̚ ˨˩
kʰaːj	kʰ aː j ˩˩˦
kʰɯn	kʰ ɯ n ˥˩
kʰaːw	kʰ aː w ˨˩
kʰaːwsaːn	kʰ aː w ˨˩ s aː n ˩˩˦
kʰɔː	kʰ ɔː ˥˩
kʰɔːmuːn	kʰ ɔː ˥˩ m uː n ˧
kʰaːŋhalaŋ	kʰ aː ŋ ˥˩ l a ŋ ˩˩˦
kʰaːpt͡ɕeːaː	kʰ aː ˥˩ pʰ a ˦˥ t͡ɕ aː w ˥˩
kʰadiː	kʰ a ˦˥ d iː ˧
kʰon	kʰ o n ˧
kʰonŋaːn	kʰ o n ˧ ŋ aː n ˧
kʰob	kʰ o p̚ ˦˥
kʰrɔːbkʰruːa̯	kʰ r ɔː p̚ ˥˩ kʰ r u a̯ ˧
kʰruːa̯rɯːa̯n	kʰ r u a̯ ˧ r ɯ a̯ n ˧
kʰraŋ	kʰ r a ŋ ˦˥
kʰraŋnan	kʰ r a ŋ ˦˥ n a n ˦˥
kʰriːm	kʰ r iː m ˧
kʰruː	kʰ r uː ˧
kʰlaŋ	kʰ l a ŋ ˧
kʰwbakʰum	kʰ u a̯ p̚ ˥˩ kʰ u m ˧
kʰwaːmŋaːm	kʰ w aː m ˧ ŋ aː m ˧
kʰwaːmt͡ɕʰɔːbotrarom	kʰ w aː m ˧ t͡ɕʰ ɔː p̚ ˥˩ tʰ a m ˧
kʰwaːmtaːj	kʰ w aː m ˧ t aː j ˧
kʰwaːmrak	kʰ w aː m ˧ r a k̚ ˦˥
kʰwaːmrunarɛːŋ	kʰ w aː m ˧ r u n ˧ r ɛː ŋ ˧
kʰwaːmsaːmaːrot	kʰ w aː m ˧ s aː ˩˩˦ m aː t̚ ˥˩
kʰwaːmsuk	kʰ w aː m ˧ s u k̚ ˨˩
kʰwaːmhalaːkhalaːjtʰaːŋat͡ɕʰiːwpʰaːp	kʰ w aː m ˧ l aː k̚ ˨˩ l aː j ˩˩˦ tʰ aː ŋ ˧ t͡ɕʰ iː ˧ w a ˦˥ pʰ aː p̚ ˥˩
kʰwaːmreːw	kʰ w aː m ˧ r e w ˧
kʰwaːmsiːa̯w	kʰ w aː m ˧ s i a̯ w ˩˩˦
kʰɔːlam	kʰ ɔː ˧ l a m ˥˩
kʰanɛːn	kʰ a ˦˥ n ɛː n ˧
kʰaːt	kʰ aː t̚ ˥˩
kʰaːn	kʰ aː n ˧
kʰaːfeː	kʰ aː ˧ f eː ˥˩
kʰam	kʰ a m ˧
kʰampʰɔːŋsiːa̯ŋ	kʰ a m ˧ pʰ ɔː ŋ ˦˥ s i a̯ ŋ ˩˩˦
kʰamsaŋ	kʰ a m ˧ s a ŋ ˨˩
kʰiŋ	kʰ i ŋ ˧
kʰit	kʰ i t̚ ˦˥
kʰɯːn	kʰ ɯː n ˧
kʰuntʰrarom	kʰ u n ˧ n a ˦˥ tʰ a m ˧
kʰumkʰrɔːŋ	kʰ u m ˦˥ kʰ r ɔː ŋ ˧
kʰuːn	kʰ uː n ˧
kʰaːrɛːŋ	kʰ aː ˥˩ r ɛː ŋ ˧
kʰonhaː	kʰ o n ˦˥ h aː ˩˩˦
kʰɔːn	kʰ ɔː n ˦˥
kʰam	kʰ a m ˧
ŋot	ŋ o t̚ ˦˥
ŋobpramaːn	ŋ o p̚ ˦˥ p r a ˨˩ m aː n ˧
ŋat	ŋ a t̚ ˦˥
ŋaːn	ŋ aː n ˧
ŋaːjdaːj	ŋ aː j ˥˩ d aː j ˧
t͡ɕon	t͡ɕ o n ˧
t͡ɕarijtʰrarom	t͡ɕ a ˨˩ r i ˦˥ j a ˦˥ tʰ a m ˧
t͡ɕawok	t͡ɕ u a̯ k̚ ˨˩
t͡ɕɔːŋ	t͡ɕ ɔː ŋ ˧
t͡ɕɔːt͡ɕiːa̯	t͡ɕ ɔː ˧ t͡ɕ i a̯ ˧
t͡ɕaksuwitjaː	t͡ɕ a k̚ ˨˩ s u ˨˩ w i t̚ ˦˥ tʰ a ˦˥ j aː ˧
t͡ɕaŋhawat	t͡ɕ a ŋ ˧ w a t̚ ˨˩
t͡ɕat	t͡ɕ a t̚ ˨˩
t͡ɕanot	t͡ɕ a n ˧
t͡ɕabmɯːɔː	t͡ɕ a p̚ ˨˩ m ɯː ˧
t͡ɕaːnbin	t͡ɕ aː n ˧ b i n ˧
t͡ɕaːriːt	t͡ɕ aː ˧ r iː t̚ ˥˩
t͡ɕamkat	t͡ɕ a m ˧ k a t̚ ˨˩
t͡ɕamnawon	t͡ɕ a m ˧ n u a̯ n ˧
t͡ɕiŋt͡ɕɔːk	t͡ɕ i ŋ ˥˩ t͡ɕ ɔː k̚ ˨˩
t͡ɕiw	t͡ɕ i w ˩˩˦
t͡ɕiː	t͡ɕ iː ˥˩
t͡ɕulaː	t͡ɕ u ˨˩ l aː ˧
t͡ɕʰabab	t͡ɕʰ a ˨˩ b a p̚ ˨˩
t͡ɕʰun	t͡ɕʰ u n ˩˩˦
t͡ɕʰoŋ	t͡ɕʰ o ŋ ˧
t͡ɕʰanaʔ	t͡ɕʰ a ˦˥ n a ʔ ˦˥
t͡ɕʰanit	t͡ɕʰ a ˦˥ n i t̚ ˦˥
t͡ɕʰom	t͡ɕʰ o m ˧
t͡ɕʰompʰuː	t͡ɕʰ o m ˧ pʰ uː ˧
t͡ɕʰonburiː	t͡ɕʰ o n ˧ b u ˨˩ r iː ˧
t͡ɕʰat	t͡ɕʰ a t̚ ˦˥
t͡ɕʰuːa̯kraːw	t͡ɕʰ u a̯ ˥˩ kʰ r aː w ˧
t͡ɕʰuːa̯moːŋ	t͡ɕʰ u a̯ ˥˩ m oː ŋ ˧
t͡ɕʰan	t͡ɕʰ a n ˦˥
t͡ɕʰaːn	t͡ɕʰ aː n ˧
t͡ɕʰiːwit	t͡ɕʰ iː ˧ w i t̚ ˦˥
t͡ɕʰiː	t͡ɕʰ iː ˦˥
t͡ɕʰɯːɔː	t͡ɕʰ ɯː ˥˩
t͡ɕʰɯːɔːtkun	t͡ɕʰ ɯː ˥˩ s a ˨˩ k u n ˧
t͡ɕʰut	t͡ɕʰ u t̚ ˦˥
t͡ɕʰumt͡ɕʰon	t͡ɕʰ u m ˧ t͡ɕʰ o n ˧
t͡ɕʰawoŋ	t͡ɕʰ u a̯ ŋ ˥˩
t͡ɕʰowjaheːlɯːɔː	t͡ɕʰ u a̯ j ˥˩ l ɯ a̯ ˩˩˦
t͡ɕʰɔːntoʔ	t͡ɕʰ ɔː n ˦˥ t o ʔ ˦˥
t͡ɕʰaːŋ	t͡ɕʰ aː ŋ ˦˥
t͡ɕʰaːŋtaːjatʰaŋtuːa̯ʔeːaːbajbuːa̯maːpit	t͡ɕʰ aː ŋ ˦˥ t aː j ˧ tʰ a ŋ ˦˥ t u a̯ ˧ ʔ a w ˧ b a j ˧ b u a̯ ˧ m aː ˧ p i t̚ ˨˩
sɔːj	s ɔː j ˧
sinmaːtɤn	s i n ˦˥ m aː ˧ t ɤ n ˥˩
sɯŋ	s ɯ ŋ ˧
sɯːɔː	s ɯː ˦˥
suːt͡ɕʰiʔ	s uː ˧ t͡ɕʰ i ʔ ˦˥
saːj	s aː j ˦˥
jattiʔ	j a t̚ ˦˥ t i ʔ ˨˩
jiːpun	j iː ˥˩ p u n ˨˩
dawoŋ	d u a̯ ŋ ˧
dɔːk	d ɔː k̚ ˨˩
dɔːkpʰon	d ɔː k̚ ˨˩ pʰ o n ˩˩˦
dɔːkbiːa̯	d ɔː k̚ ˨˩ b i a̯ ˥˩
dɔːn	d ɔː n ˧
daŋnan	d a ŋ ˧ n a n ˦˥
datpɛːloŋ	d a t̚ ˨˩ p l ɛː ŋ ˧
dan	d a n ˧
dab	d a p̚ ˨˩
daːwhoːlot	d aː w ˧ l oː t̚ ˨˩
diːt͡ɕeː	d iː ˧ t͡ɕ eː ˧
duː	d uː ˧
duːtʰuːk	d uː ˧ tʰ uː k̚ ˨˩
dawon	d u a̯ n ˨˩
daːn	d aː n ˥˩
tonrakaʔ	t a k̚ ˨˩ k a ʔ ˨˩
traːt	t r aː t̚ ˨˩
trinidɛːtlɛtoːbeːkoː	t r i ˨˩ n i ˦˥ d ɛː t̚ ˨˩ l ɛ ʔ ˦˥ t oː ˧ b eː ˧ k oː ˧
talɔːt	t a ˨˩ l ɔː t̚ ˨˩
talaːtnat	t a ˨˩ l aː t̚ ˨˩ n a t̚ ˦˥
tɔːn	t ɔː n ˧
tɔːb	t ɔː p̚ ˨˩
talɛːŋkɛːŋ	t a ˨˩ l ɛː ŋ ˧ k ɛː ŋ ˧
tuːa̯	t u a̯ ˧
tuːa̯ɔːjaːŋ	t u a̯ ˧ j aː ŋ ˨˩
taŋ	t a ŋ ˥˩
taŋtɛː	t a ŋ ˥˩ t ɛː ˨˩
taːn	t aː n ˧
taːm	t aː m ˧
taːraːŋ	t aː ˧ r aː ŋ ˧
tambon	t a m ˧ b o n ˧
tit	t i t̚ ˨˩
tittɔː	t i t̚ ˨˩ t ɔː ˨˩
titt͡ɕʰɯːa̯	t i t̚ ˨˩ t͡ɕʰ ɯ a̯ ˦˥
tɯk	t ɯ k̚ ˨˩
tɯːnnɔːn	t ɯː n ˨˩ n ɔː n ˧
tɯːnteːn	t ɯː n ˨˩ t e n ˥˩
tulaːkʰom	t u ˨˩ l aː ˧ kʰ o m ˧
tuː	t uː ˥˩
tɔː	t ɔː ˨˩
tɔːpaj	t ɔː ˨˩ p a j ˧
taːŋ	t aː ŋ ˨˩
tont͡ɕʰabab	t o n ˥˩ t͡ɕʰ a ˨˩ b a p̚ ˨˩
tʰalom	tʰ a ˨˩ l o m ˨˩
tʰawaːj	tʰ a ˨˩ w aː j ˩˩˦
tʰaːm	tʰ aː m ˩˩˦
tʰɯŋ	tʰ ɯ ŋ ˩˩˦
tʰuːk	tʰ uː k̚ ˨˩
tʰaː	tʰ aː ˥˩
tʰonŋoklom	s o ŋ ˧ k l o m ˧
tʰram	tʰ r a m ˦˥
tʰrʉsadiː	tʰ r i t̚ ˦˥ s a ˨˩ d iː ˧
tʰawittɤː	tʰ a ˦˥ w i t̚ ˦˥ t ɤː ˥˩
tʰotwararot	tʰ o t̚ ˦˥ s a ˨˩ w a t̚ ˦˥
tʰahaːn	tʰ a ˦˥ h aː n ˩˩˦
tʰaleːsaːb	tʰ a ˦˥ l eː ˧ s aː p̚ ˨˩
tʰabtʰim	tʰ a p̚ ˦˥ tʰ i m ˧
tʰaŋ	tʰ a ŋ ˦˥
tʰaŋniː	tʰ a ŋ ˦˥ n iː ˦˥
tʰaŋhamot	tʰ a ŋ ˦˥ m o t̚ ˨˩
tʰaːŋlɯːa̯k	tʰ aː ŋ ˧ l ɯ a̯ k̚ ˥˩
tʰam	tʰ a m ˧
tʰamŋaːn	tʰ a m ˧ ŋ aː n ˧
tʰip	tʰ i p̚ ˦˥
tʰimpʰuː	tʰ i m ˧ pʰ uː ˧
tʰiːm	tʰ iː m ˧
tʰiːwiː	tʰ iː ˧ w iː ˧
tʰiː	tʰ iː ˥˩
tʰiːt͡ɕɔːtrot	tʰ iː ˥˩ t͡ɕ ɔː t̚ ˨˩ r o t̚ ˦˥
tʰiːmaː	tʰ iː ˥˩ m aː ˧
tʰiːsut	tʰ iː ˥˩ s u t̚ ˨˩
tʰiːɔːjuː	tʰ iː ˥˩ j uː ˨˩
tʰuk	tʰ u k̚ ˦˥
tʰuk	tʰ u k̚ ˦˥
tʰɔːn	tʰ ɔ n ˥˩
nokraraːtsiːmaː	n a ˦˥ kʰ ɔː n ˧ r aː t̚ ˥˩ t͡ɕʰ a ˦˥ s iː ˩˩˦ m aː ˧
nokrasariːtraromraːt	n a ˦˥ kʰ ɔː n ˧ s iː ˩˩˦ tʰ a m ˧ m a ˦˥ r aː t̚ ˥˩
natʰiː	n a ˦˥ tʰ iː ˧
nomkʰon	n o m ˧ kʰ o n ˥˩
nɔːkt͡ɕaːk	n ɔː k̚ ˥˩ t͡ɕ aː k̚ ˨˩
nɔːtkʰɛːroːlajnaː	n ɔː t̚ ˦˥ kʰ ɛː ˧ r oː ˧ l a j ˧ n aː ˥˩
nakkaːjokrarom	n a k̚ ˦˥ k aː j ˧ j a ˦˥ k a m ˧
nakkaːramɯːa̯ŋ	n a k̚ ˦˥ k aː n ˧ m ɯ a̯ ŋ ˧
nakjakanamhanak	n a k̚ ˦˥ j o k̚ ˦˥ n a m ˦˥ n a k̚ ˨˩
nakrɔːŋ	n a k̚ ˦˥ r ɔː ŋ ˦˥
nakwit͡ɕʰaːkaːn	n a k̚ ˦˥ w i ˦˥ t͡ɕʰ aː ˧ k aː n ˧
naksɯkasaː	n a k̚ ˦˥ s ɯ k̚ ˨˩ s aː ˩˩˦
nakleːŋ	n a k̚ ˦˥ l eː ŋ ˧
nan	n a n ˦˥
naːtʰiː	n aː ˧ tʰ iː ˧
naːnaː	n aː ˧ n aː ˧
naːmbaton	n aː m ˧ b a t̚ ˨˩
naːj	n aː j ˧
naːjok	n aː ˧ j o k̚ ˦˥
naːjkratmanotriː	n aː ˧ j o k̚ ˦˥ r a t̚ ˦˥ tʰ a ˨˩ m o n ˧ t r iː ˧
naːjok	n aː ˧ j o k̚ ˦˥
naːsik	n aː ˧ s i k̚ ˨˩
nam	n a m ˧
niw	n i w ˦˥
niwpoːŋ	n i w ˦˥ p oː ŋ ˥˩
niː	n iː ˦˥
nuŋ	n u ŋ ˥˩
nun	n u n ˥˩
najoːbaːj	n a ˦˥ j oː ˧ b aː j ˧
nɔːk	n ɔ k̚ ˦˥
naːn	n aː n ˥˩
namplaː	n a m ˦˥ p l aː ˧
namkʰɛːŋ	n a m ˦˥ kʰ ɛ ŋ ˩˩˦
botkʰwaːm	b o t̚ ˨˩ kʰ w aː m ˧
bonranaːrakot	b a n ˧ n aː ˧ r a k̚ ˦˥ s a ˨˩
barandiː	b r a n ˨˩ d iː ˧
barikaːn	b ɔː ˧ r i ˦˥ k aː n ˧
barihaːn	b ɔː ˧ r i ˦˥ h aː n ˩˩˦
balɔːk	b l ɔ k̚ ˦˥
bajt͡ɕʰiː	b a n ˧ t͡ɕʰ iː ˧
buːa̯kɛːw	b u a̯ ˧ k ɛː w ˥˩
baŋ	b a ŋ ˥˩
baːŋkʰraŋ	b aː ŋ ˧ kʰ r a ŋ ˦˥
bik	b i k̚ ˦˥
biːtʰeːnt͡ɕut	b iː ˧ tʰ e l ˧ t͡ɕ uː s ˦˥
buk	b u k̚ ˨˩
bub	b u p̚ ˨˩
buriːram	b u ˨˩ r iː ˧ r a m ˧
bɔː	b ɔː ˨˩
baːŋ	b a ŋ ˥˩
bawoj	b u a̯ j ˦˥
patiseːt	p a ˨˩ t i ˨˩ s eː t̚ ˨˩
panitʰaːn	p a ˨˩ n i ˦˥ tʰ aː n ˧
prakaːn	p r a ˨˩ k aː n ˧
prakaːt	p r a ˨˩ k aː t̚ ˨˩
pratwabakʰiːriːkʰan	p r a ˨˩ t͡ɕ u a̯ p̚ ˨˩ kʰ iː ˧ r iː ˧ kʰ a n ˩˩˦
prat͡ɕam	p r a ˨˩ t͡ɕ a m ˧
prat͡ɕamdɯːa̯n	p r a ˨˩ t͡ɕ a m ˧ d ɯ a̯ n ˧
prat͡ɕʰaːt͡ɕʰon	p r a ˨˩ t͡ɕʰ aː ˧ t͡ɕʰ o n ˧
prat͡ɕʰaːmtiʔ	p r a ˨˩ t͡ɕʰ aː ˧ m a ˦˥ t i ʔ ˨˩
pratuː	p r a ˨˩ t uː ˧
pratʰabt͡ɕaj	p r a ˨˩ tʰ a p̚ ˦˥ t͡ɕ a j ˧
pratwoŋ	p r a ˨˩ tʰ u a̯ ŋ ˦˥
prapʰan	p r a ˨˩ pʰ a n ˧
prajut	p r a ˨˩ j u t̚ ˦˥
prasitʰot	p r a ˨˩ s i t̚ ˨˩
prapʰeːt	p r a ˨˩ pʰ eː t̚ ˥˩
primaːn	p a ˨˩ r i ˦˥ m aː n ˧
pruŋ	p r u ŋ ˧
plɔːt	p l ɔː t̚ ˨˩
plat	p a ˨˩ l a t̚ ˨˩
pluk	p l u k̚ ˨˩
pɔː	p ɔː ˧
pat	p a t̚ ˨˩
patmaː	p a t̚ ˨˩ tʰ a ˦˥ m aː ˧
pan	p a n ˨˩
pan	p a n ˥˩
piːk	p iː k̚ ˨˩
piːtɤː	p iː ˧ t ɤː ˥˩
piːhajmaʔ	p iː ˧ m a j ˨˩
pɯːn	p ɯː n ˧
pɯːnhajjaʔ	p ɯː n ˧ j a j ˨˩
pawon	p u a̯ n ˨˩
pɔːŋ	p ɔ ŋ ˥˩
pʰom	pʰ o m ˩˩˦
pʰlak	pʰ l a k̚ ˨˩
pʰlakdan	pʰ l a k̚ ˨˩ d a n ˧
pʰlitpʰan	pʰ a ˨˩ l i t̚ ˨˩ t a ˨˩ pʰ a n ˧
pʰlitpʰananom	pʰ a ˨˩ l i t̚ ˨˩ tʰ a ˦˥ pʰ a n ˧ n o m ˧
pʰaːsuk	pʰ aː ˩˩˦ s u k̚ ˨˩
pʰithawaŋ	pʰ i t̚ ˨˩ w a ŋ ˩˩˦
pʰiː	pʰ iː ˩˩˦
pʰuːtnaʔ	pʰ uː ˥˩ t͡ɕʰ a ˦˥ n a ʔ ˦˥
pʰuːt͡ɕʰaːj	pʰ uː ˥˩ t͡ɕʰ aː j ˧
pʰuːtɔːŋsaŋasaj	pʰ uː ˥˩ t ɔ ŋ ˥˩ s o ŋ ˩˩˦ s a j ˩˩˦
pʰuːbripʰoːk	pʰ uː ˥˩ b ɔː ˧ r i ˦˥ pʰ oː k̚ ˥˩
pʰuːsɯːbsanadaːn	pʰ uː ˥˩ s ɯː p̚ ˨˩ s a n ˩˩˦ d aː n ˧
pʰuːtɛːŋ	pʰ uː ˥˩ t ɛː ŋ ˨˩
pʰuːhajjabaːn	pʰ uː ˥˩ j a j ˨˩ b aː n ˥˩
pʰɔːŋ	pʰ ɔ ŋ ˨˩
pʰaːmaːn	pʰ aː ˥˩ m aː n ˥˩
faːj	f aː j ˩˩˦
faːj	f aː j ˨˩
faːjhanaː	f aː j ˨˩ n aː ˥˩
faː	f aː ˥˩
pʰanakŋaːnakʰaːj	pʰ a ˦˥ n a k̚ ˦˥ ŋ aː n ˧ kʰ aː j ˩˩˦
pʰonrasaː	pʰ a n ˧ s aː ˩˩˦
pʰraːj	pʰ r aː j ˧
pʰrʉkasaː	pʰ r ɯ k̚ ˦˥ s aː ˩˩˦
pʰrʉtikrarom	pʰ r ɯ t̚ ˦˥ t i ˨˩ k a m ˧
pʰrʉsat͡ɕikaːjon	pʰ r ɯ t̚ ˦˥ s a ˨˩ t͡ɕ i ˨˩ k aː ˧ j o n ˧
pʰrʉsapʰaːkʰom	pʰ r ɯ t̚ ˦˥ s a ˨˩ pʰ aː ˧ kʰ o m ˧
pʰlɔːj	pʰ l ɔː j ˧
pʰlaŋŋaːn	pʰ a ˦˥ l a ŋ ˧ ŋ aː n ˧
pʰawok	pʰ u a̯ k̚ ˥˩
pʰɔːk	pʰ ɔː k̚ ˥˩
pʰikat	pʰ i ˦˥ k a t̚ ˨˩
pʰipʰop	pʰ i ˦˥ pʰ o p̚ ˦˥
pʰitnuloːk	pʰ i t̚ ˦˥ s a ˨˩ n u ˦˥ l oː k̚ ˥˩
pʰɯːntʰiː	pʰ ɯː n ˦˥ tʰ iː ˥˩
pʰuttʰasakraːt	pʰ u t̚ ˦˥ tʰ a ˦˥ s a k̚ ˨˩ k a ˨˩ r aː t̚ ˨˩
pʰɔː	pʰ ɔː ˥˩
fariː	f r iː ˧
faktʰɔːŋ	f a k̚ ˦˥ tʰ ɔː ŋ ˧
fantʰoŋ	f a n ˧ tʰ o ŋ ˧
faːn	f aː n ˧
fisik	f i ˦˥ s i k̚ ˨˩
pʰaːpprakɔːb	pʰ aː p̚ ˥˩ p r a ˨˩ k ɔː p̚ ˨˩
pʰaːpjanot	pʰ aː p̚ ˥˩ pʰ a ˦˥ j o n ˧
pʰaːjnɔːk	pʰ aː j ˧ n ɔː k̚ ˥˩
pʰaːjnaj	pʰ aː j ˧ n a j ˧
pʰaːnkit	pʰ aː ˧ r a ˦˥ k i t̚ ˨˩
pʰaːwnaː	pʰ aː ˧ w a ˦˥ n aː ˧
pʰut͡ɕʰoŋ	pʰ u ˦˥ t͡ɕʰ o ŋ ˧
pʰuːkeːt	pʰ uː ˧ k e t̚ ˨˩
matit͡ɕʰon	m a ˦˥ t i ˨˩ t͡ɕʰ o n ˧
mahaːt͡ɕʰon	m a ˦˥ h aː ˩˩˦ t͡ɕʰ o n ˧
mahaːsaːnkʰaːm	m a ˦˥ h aː ˩˩˦ s aː ˩˩˦ r a ˦˥ kʰ aː m ˧
mɔːntʰriːʔɔːn	m ɔ n ˧ tʰ r iː ˧ ʔ ɔ l ˥˩
mɔːtɤː	m ɔː ˧ t ɤː ˥˩
mɔːtɤːweː	m ɔː ˧ t ɤː ˥˩ w eː ˧
manaːw	m a ˦˥ n aː w ˧
maliʔ	m a ˦˥ l i ʔ ˦˥
mareːŋ	m a ˦˥ r e ŋ ˧
mareːŋteːaːnom	m a ˦˥ r e ŋ ˧ t a w ˥˩ n o m ˧
man	m a n ˧
maŋkʰaŋ	m a ŋ ˥˩ kʰ a ŋ ˥˩
maːkkwaː	m aː k̚ ˥˩ k w aː ˨˩
maːtraː	m aː t̚ ˥˩ t r aː ˧
maːleːsiːa̯	m aː ˧ l eː ˧ s i a̯ ˧
mitiʔ	m i ˦˥ t i ʔ ˨˩
miː	m iː ˧
miːnaːkʰom	m iː ˧ n aː ˧ kʰ o m ˧
muk	m u k̚ ˦˥
muːnkʰaː	m uː n ˧ l a ˦˥ kʰ aː ˥˩
maːlaːj	m aː ˦˥ l aː j ˧
joklɤk	j o k̚ ˦˥ l ɤː k̚ ˥˩
jokweːn	j o k̚ ˦˥ w e n ˦˥
jot	j o t̚ ˦˥
jaːn	j aː n ˧
jaːbaː	j aː ˧ b aː ˥˩
jaːw	j aː w ˧
jindiː	j i n ˧ d iː ˧
jɯːnjan	j ɯː n ˧ j a n ˧
jɯːn	j ɯː n ˥˩
juroːp	j u ˦˥ r oː p̚ ˨˩
juːʔeːn	j uː ˧ ʔ e n ˧
jam	j a m ˦˥
rot	r o t̚ ˦˥
rotkrabaʔ	r o t̚ ˦˥ k r a ˨˩ b a ʔ ˨˩
rotjok	r o t̚ ˦˥ j o k̚ ˦˥
rawom	r u a̯ m ˧
rɔːŋ	r ɔː ŋ ˧
rɔːŋsaːsotraːt͡ɕaːn	r ɔː ŋ ˧ s aː t̚ ˨˩ t r aː ˧ t͡ɕ aː n ˧
rɔːŋtʰeːaː	r ɔː ŋ ˧ tʰ aː w ˦˥
rabbaniweːt	r a ˦˥ b o p̚ ˨˩ n i ˦˥ w eː t̚ ˥˩
rabuʔ	r a ˦˥ b u ʔ ˨˩
rajɔːŋ	r a ˦˥ j ɔː ŋ ˧
rajatʰaːŋ	r a ˦˥ j a ˦˥ tʰ aː ŋ ˧
rahwaːŋ	r a ˦˥ w aː ŋ ˨˩
rabiːa̯b	r a ˦˥ b i a̯ p̚ ˨˩
rak	r a k̚ ˦˥
ratkaːn	r a t̚ ˦˥ t͡ɕʰ a ˦˥ k aː n ˧
ratbaːn	r a t̚ ˦˥ tʰ a ˨˩ b aː n ˧
rab	r a p̚ ˦˥
ruːa̯	r u a̯ ˧
ratsiːa̯	r a t̚ ˦˥ s i a̯ ˧
raːkʰaː	r aː ˧ kʰ aː ˧
raːŋwan	r aː ŋ ˧ w a n ˧
raːtnaːwiː	r aː t̚ ˥˩ t͡ɕʰ a ˦˥ n aː ˧ w iː ˧
raːt͡ɕʰan	r aː ˧ t͡ɕʰ a n ˧
raːtriː	r aː ˧ t r iː ˧
raːmkiːa̯rot	r aː m ˧ m a ˦˥ k i a̯ n ˧
raːjkaːn	r aː j ˧ k aː n ˧
raːjŋaːn	r aː j ˧ ŋ aː n ˧
raːjlaʔiːa̯t	r aː j ˧ l a ˦˥ ʔ i a̯ t̚ ˨˩
romjeːn	r o m ˥˩ j e n ˧
raːŋ	r aː ŋ ˥˩
rɔːŋ	r ɔː ŋ ˦˥
rɔːŋriːa̯n	r ɔː ŋ ˦˥ r i a̯ n ˧
rɔːj	r ɔː j ˦˥
