آر	ɑ r
غوول	ɣ o w ə l
غويی	ɣ w a j a ɪ
غوړي	ɣ w a ɺ̢ i
غوږ	ɣ w a ɡ
غوښتل	ɣ u x ˈt ə l
غوښه	ɣ w a ˈ. ʂ a
غيم	ɣ ə j ə m
غټ	ɣ a ʈ
غپا	ɣ a p ɑ
غپول	ɣ a p a w ə l
غپېدل	ɣ a p e d ə l
غړومبل	ɣ ɺ̢ u m b ə l
غږېدل	ɣ a . ɡ e . d̪ ə l
غښتل	ɣ ə ʂ ˈt̪ ə l
غڼه	ɣ ə ɳ a
غېږ	ɣ e ɡ
ـتانۀ	t̪ ɑ n ə
ـتون	t̪ u n
ـغاړی	ɣ ɑ ɻ a i
ـوړ	w ə ɻ
ـځی	d͡z a i
فرانس	f r ɑ ŋ s
فرانسه	ɸ r . ɑ n . s a
فردوس	f ɪ r ˈd̪ a w s
قاموس	k ɑ m o s
قصه	q ɪ s a
قطر	ˈk a t ə r
كاچوغه	k ɑ t͡ʃ o ɣ a
كره	k a r a
كوتره	k a w t̪ ə r a
لار	l ɑ r
لاريون	l ɑ r j u n
لاس	l ɑ s
لامبل	l ɑ m b ə l
لامبو	l ɑ m b o
لرغونپوهنه	l ə r ɣ u n p o h ə n a
لرګی	l ə r ɡ a i
لرې	l ə r e
لس	l a s
لشه	l a ʃ a
لمر	l a m a r
لمريز	l m a r i z
لمسی	l m a s a i
لمن	l a m ə n
لوبول	l o b a w ə l
لوبېدل	l o b e d ə l
لور	l u r
لوست	l w ə s t̪
لوستل	l w ə s t̪ ə l
لومبړ	l u m b a ɽ
لومړی	l u m ɺ ˞ a i
لوڅ	l u t͡s
لوړ	l w a ɻ
لوړل	l o ɽ ə l
لوښي	l o ʃ i
لوی	l o i
لوېديځ	l o e d̪ i d͡z
ليدل	l i d ə l
لړه	l ə ɽ a
لږ	l ə ɡ
لېور	l e w a r
لېونی	l e w a n a i
لېوۀ	l e w ə
مالک	m ɑ l ɪ k
مالګه	m ɑ l ɡ a
ماما	m ɑ m ɑ
ماندې	ˈm ɑ n d e
مانګر	m ɑ ŋ . ˈɡ ə r
ماښام	m ɑ ˈx ɑ m
ماڼو	m ɑ ɳ o
ماڼۍ	m ɑ ɳ ə i
مخوېينه	m ə x w e j ə n a
مذهب	m a ˈz a b
مرخېړی	m a r x e ɺ̢ a i
مرستونی	m r a s t̪ u n a ɪ
مرغ	m r a ɣ
مرغه	m a r ˈɣ a
مرغړی	m a r ɣ a ɺ̢ a i
مرغۀ	m ə r . ɣ ə ˈ
مرګ	m a r ɡ
مزری	m z a r a ɪ
مشرانوجرګه	m ə ʃ ə r ɑ n o d͡ʒ a r ɡ a
معدن	m ɑ d̪ ə n
مل	m a l
ملګرې	m ə l ɡ ə r e
مننه	m ə n ɘ n ə
منو	m a n o
مني	m a n i
منټ	m ɪ n ə ʈ
منځ	m a n d z
منځنی	m ə n d͡z ə n ə i
منډه	m ə n ɖ a
منی	ˈm ə n a ɪ
مور	m o r
موسيقي	m u ˈs i ˈk i
موندل	m u n d̪ ə l
مونږ	m u n ɡ
موټک	m u ʈ a k
موږ	m u ʐ
موږک	m u ʐ ə k
مياشت	m j ɑ ʃ t̪
ميليون	m i l j u n
مينه	m i n a
ميېر	m j e r
مټ	m ə ʈ
مټونګى	m ə ʈ u n ɡ a i
مړه	m ə ɽ a
مړۍ	m a ɺ̢ ə i̯
مږه	m ə ɡ a
مګر	m ə . ˈɡ ə r
میاشت	m i ɑ ʃ t
مې	ˈm e
مېجی	m e ʒ a i
مېخ	m e x
مېشيکو	m e ʃ i k o
مېشکوړ	m e ʃ k o ɻ
مېلمه	m e l m a
مېله	m e l a
مېلوه	m e l a w a
مېړګی	m e ɻ ɡ a i
مېړۀ	m e ɻ ə
نا	n ɑ
نارنجي	n ɑ r ə n d͡ʒ i
ناسم	n ɑ s ə m
ناـ	n ɑ
ناړولی	n ɑ ɻ a w ɘ l a i
نجلۍ	n d ʒ ə l ə i
نرکاشه	n ə r k ɑ ʃ a
نزدې	n i z d e
نس	n a s
نسواري	n a s w ɑ r i
نشت	n ə ʃ t̪
نطفه	n ʊ t̪ ˈf a
نمازديګر	n ə . m ɑ z . d̪ i . ɡ a r
نماسخوتن	n ə . m ɑ s . x o . t a n
نماسپېښين	n ə . m ɑ s . p e . ʂ i n
نماښام	n ə . m ɑ ˈʂ ɑ m
نمونځ	ⁿm u ŋ d͡z
ننګ	n ə ŋ ɡ
نه	n ə
نو	n u
نور	n w a r
نولس	n u l a s
نوملړ	n u m l a ɻ
نوي	n a w i
نوکغوڅی	n u k ɣ w ə t͡s a i
نوی	n ə w a i
نياو	n j ɑ w
نيلي	n i l i
نيمبو	n i m b u
نيوکه	n i w ə k a
نږدې	n i ɡ ˈd e
نژدې	n i ʒ d e
نښتر	n ə x ˈt̪ a r
هدف	h a d ə f
هسک	h a s k
هغه	h a . ˈɣ ə
هغې	h a . ˈɣ e
هلته	h a l t a
هلک	h a ˈl ə k
هماليۀ	h ɪ m ɑ l ə j ə
همېل	h a ˈm e l
هو	h o
هوښيار	h u x j ɑ r
هيله	h i l a
هڅه	h a t͡s a
هګۍ	h ə ɡ ə i
هېر	h e r
هېلۍ	h e l ə i
هېواد	h e w ɑ d̪
وئ	w ə i
واورتون	w ɑ w r a t̪ u n
واوره	w ɑ ˈw r a
واټ	w ɑ ʈ
واک	w ɑ k
وتل	w a t̪ ə l
وخ	w a x
ودان	w ə d̪ ɑ n
ودانول	w a d ɑ n a w ə l
ور	w a r
ورشو	w a r ʃ o
ورو	w r o ʊ
وروستل	w a r w a s t ə l
ورولم	w a r w a l ə m
وريجې	w r i d͡ʒ e
وريژې	w r i ʒ e
ورځ	w r a d͡z
ورکول	w a r k a w ə l
وزير	w ə z i r
وزیرستان	w ə z i r ɪ s t̪ ɑ n
ولسوالي	w ə l ə s w ɑ l i
ولسوالۍ	w ə l ə s w ɑ l ə i
وله	w a l a
وم	w ə m
ونه	w ə n a
ووړکی	w o ɺ̢ k a i
ووړکۍ	w o ɺ̢ k ə i
ووړی	w o ɺ ˞ a i
ويده	w i d ə
ويشتل	w i ʃ t ə l
وينګ	w a j a ŋ ɡ
ويه	w a j a
وييونه	w i j u n a
وييپانګه	w ə j i p ɑ ŋ ɡ a
ويی	w ə j a i
وټه	w ə ʈ a
وړيا	w ə ɻ j ɑ
وږی	w ə ɡ a i
وګړواکي	w ə ɡ ə ɻ w ɑ k i
وګړپوهنه	w ə ɡ ə ɻ p o h ə n a
وګړی	w ə ɡ ə ɻ a i
وېرول	w e r a w ə l
وېرېدل	w e r e d ə l
وېښتان	w e ʃ t̪ ɑ n
ياد	j ɑː d
يم	j ə m
يهک	j h a k
يو	j a w
يوم	j u m
يونی	y u n a i
يوولس	j a w o l a s
يې	j e
ټاپو	ʈ ɑ p u
ټبر	ʈ a b a r
ټماټر	ʈ a m ɑ ʈ ə r
ټنډه	ʈ ə n ɖ a
ټوسپارۍ	ʈ u s p ɑ r ɘ y
ټول	ʈ o l
ټوپکی	ʈ u p a k a i
ټوکر	ʈ u k ə r
ټوکه	ʈ o k a
ټوکي	ʈ o k i
ټينګ	ʈ i ŋ ɡ
ټپاکی	ʈ u p ɑ k a i
ټکی	ˈʈ ə k a i
پارسه	p ɑ r . s a
پارسیوان	p ɑ r s i w ɑ n
پامدور	p ɑ m a d̪ o r
پايول	p ɑ y a w ə l
پاړو	p ɑ ɻ u
پاڼه	p ɑ ɳ a
پت	p a t̪
پتخه	p a t̪ ə x a
پتنګ	p a t̪ a ŋ ɡ
پخول	p a x a w ə l
پرتله	p a r t̪ a l a
پرتوګ	p a r t̪ u ɡ
پروت	p r o t̪
پروړه	p r o ˈɻ a
پرېز	p a r e z
پرېکړه	p r e k ɻ a
پسرلی	p ə s ə r l a i
پسه	p s ə
پسې	p ə s e
پشۍ	p ə ʃ ə i̯
پلاز	p l ɑ z
پلازمېنه	p l ɑ z m e n a
پلاله	p l ɑ . l a
پلم	p ɪ l m
پلورل	p l o r ə l
پمنکی	p a m a n k a ɪ
پنځوس	p ə n d z o s
پنځپوهنه	p ə ŋ d͡z p o h ə n a
پنډوس	p ə n ɖ u s
پوخ	p o ʊ x
پوله	p u l a
پوليس	p o l i s
پوه	p o h
پوهاند	p o h ɑ n d
پوهنتون	p o . h a n ˈt̪ u n
پوهنه	p o h ə n a
پوهه	ˈp o h a
پوهېدل	p o h e d ə l
پوهېږي	p o ˈh e ɡ i
پوڅه	p o t͡s a
پوړۍ	p o ˈɻ ə i
پوښتنه	p o x t̪ ə n a
پيشو	p i ʃ o
پيل	p a ɪ l
پټکی	p a ʈ . k a i
پړانګ	p ɽ ɑ ŋ ɡ
پړسوب	p a ɻ s o b
پړی	ˈp ə ɽ a i
پښتنه	p a ʂ . t̪ a . n a
پښتو	p ə ʂ ˈt̪ o
پښتون	p a ʂ . t̪ u n
پکان	p a k ɑ n
پیل	p i l
پې	p e
پېرل	p e r ə l
پېړۍ	p e ɻ ə i
پېښور	p e ˈχ ə w ə r
ځار	d͡z ɑ r
ځان	d z ɑ n
ځای	d͡z ɑ i
ځغلم	d z ɣ ə l ə m
ځغلول	d z ɣ ə l a w ə l
ځل	d͡z ə l
ځلمی	z ɘ l m ɑ i
ځم	d z ə m
ځمکپوهنه	d͡z m ə k p o h ə n a
ځوان	d͡z w ɑ n
ځواک	d͡z w ɑ k
ځيرک	d͡z i r a k
ځينې	ˈd z i n e
ځکه	d͡z ə k a
ځیږ	z i ʐ
ځېل	d͡z e l
څادر	t͡s ɑ d̪ a r
څارونکى	t͡s ɑ r u n k a ɪ ɪ
څاروى	t͡s ɑ r w a ɪ
څاروی	t͡s ɑ r w a i
څاوار	t͡s ɑ w ɑ r
څاپېړه	t͡s ɑ p e ɽ a
څاښکه	t͡s ɑ ˈx . k a
څرخول	t s a r x a w ə l
څلور	t͡s a . l o r
څلوېښت	t s a l ˈw e ç t
څنډه	t s ə n ɖ a
څنګ	t s a n ɡ
څنګل	t͡s ə ŋ ɡ ə l
څه	t͡s ə
څومره	t͡s u m r a
څوک	t͡s o k
څټک	t͡s a ʈ a k
څپلۍ	t͡s a p l ə i
څپېړه	t͡s a p e ɽ a
څښاک	t͡s x ɑ k
څکل	t s k a l
څېره	t s e r a
څېړنه	t͡s e ɻ ə n a
چاينک	t͡ʃ ɑ i n ə k
چاکلېټ	t͡ʃ ɑ ˈk l e ʈ
چورلکه	t͡ʃ u r l ə k a
چوپړ	t͡ʃ o p ə ɻ
چوڼيا	t͡ʃ u ɳ j ɑ
چيتر	t͡ʃ eː . ˈt ə r
چيچل	t ʃ i t ʃ ə l
چېرته	t͡ʃ e r t a
چېري	t͡ʃ e r i
ډانډ	ɖ ɑ ŋ ɖ
ډاکو	ɖ ɑ k u
ډله	ɖ a l a
ډنډ	ɖ a n ɖ
ډنګر	ɖ a ŋ ɡ ə r
ډول	ɖ a w l
ډولي	ɖ ə ʊ l i
ډوډۍ	ɖ o ɖ ə i
ډير	ɖ a i r
ډک	ɖ a k
ډېر	ɖ e r
ړومبی	ɺ ˞ u m b a i
ږغېدل	ʐ a ɣ e d ə l
ږمنځ	ʐ m̩ ə ŋ d͡z
ژباړل	ʒ b ɑ ɻ ə l
ژبه	ʒ ə b ə
ژبپوهنه	ʒ ə b p o h ə n a
ژبکۍ	ʒ a b a k ə i
ژرنده	ʒ r a n . d̪ a
ژمی	ˈʒ ə m a ɪ
ژور	ʒ a . w a ˈr
ژوندينکه	ʒ w a n d̪ i n a k a
ژوندی	ʒ w ə n d̪ a i
ژوپوهنه	ʒ o p o h ə n a
ژګاګ	ʒ ɪ ɡ ɑ ɡ
ژېړ	ʒ e ɻ
ښار	ʂ ɑ r
ښارو	x ɑ . r o ˈ
ښاغلی	ʂ ɑ ˈɣ ə ˈl a i
ښامار	ʂ ɑ . m ɑ ˈr
ښايي	x ɑ ˈy i
ښایسته	ʂ ɑ j s t a
ښه	x ə
ښوونځی	ʂ o w ə n ˈd z a i
ښوونکی	x o . ˈw u n . k a ɪ
ښوونکې	x o ˈw u n ˈk e
ښځه	ʂ ə ˈd͡z a
ښځينه	x ə z i ˈn a
ښکار	x k ɑ r
ښکاره	x k ɑ ˈr a
ښکلی	ʂ k w ə ˈl a i
ښکنځل	x k ə n d͡z ə l
ښۀ	x ə
کارغه	k ɑ r ˈɣ ə
کال	k ɑ l
کالنی	k ɑ l a n a i
کالي	k ɑ l i
کاپيوره	k ɑ p i w a r a
کاګل	k ɑ ɡ ə l
کب	k a b
کتاب	k ɪ t̪ . ɑ b
کتل	k a t ə l
کسم	k ə s ə m
کله	ˈk ə l a
کلک	k l a k
کلکوالى	k l a k w ɑ l a ɪ
کلی	k ə l a ɪ
کندهار	k a n d̪ a h ɑ r
کنګال	k a n ɡ ɑ l
که	k ə
کوبا	k u b ɑ
کور	k o r
کوربه	k o r b a
کورنۍ	k o r a n ə i̯
کوس	k w ə s
کول	k a w ə l
کونه	k w ə n a
کونړ	k u n a ɻ
کونګرى	k u n ɡ r a ɪ
کوټ	k o ʈ
کوټه	k o ʈ a
کړ	k ə ɻ
کښې	k ʂ e
کینخي	k i . n a . x i
کېدل	k e d ə l
ګاڼه	ɡ ɑ ɳ a
ګبين	ɡ a b i n
ګرد	ɡ ə r d
ګردی	ɡ ə r d̪ a i
ګرمي	ɡ a r m i
ګروه	ɡ r o h
ګرځېدل	ɡ ə r d͡z e d̪ ə l
ګل	ɡ w ə l
ګلابي	ɡ w ə l ɑ b i
ګنده	s x ɑ
ګهيځ	ɡ ə h i d͡z
ګودر	ɡ u d̪ a r
ګورل	ɡ o r ə l
ګيټۍ	ɡ i ʈ ə i
ګټل	ɡ a ʈ ə l
ګډون	ɡ a ɖ u n
ګړدود	ɡ ə ɻ d̪ o d̪
ګڼ	ɡ a ɳ
ګڼل	ɡ a ɳ ə l
ګېډه	ɡ e ɖ a
